hour,weekday,weekends,route
10.0,6971.0,6364.0,91
11.0,6950.0,6835.0,91
12.0,7098.0,7181.0,91
13.0,7395.0,7532.0,91
14.0,7548.0,7662.0,91
15.0,7447.0,7068.0,91
16.0,7279.0,6442.0,91
17.0,7182.0,6183.0,91
18.0,6849.0,5933.0,91
19.0,6076.0,6091.0,91
20.0,5285.0,5891.0,91
21.0,4817.0,4855.0,91
22.0,3863.0,3422.0,91
23.0,2658.0,2218.0,91
0.0,281.0,464.0,133
1.0,208.0,311.0,133
2.0,178.0,239.0,133
3.0,198.0,189.0,133
4.0,349.0,195.0,133
5.0,957.0,284.0,133
6.0,2132.0,482.0,133
7.0,3683.0,716.0,133
8.0,3800.0,1052.0,133
9.0,2852.0,1451.0,133
10.0,2261.0,1834.0,133
11.0,2155.0,2011.0,133
12.0,2208.0,2122.0,133
13.0,2327.0,2121.0,133
14.0,2572.0,2124.0,133
15.0,2929.0,2035.0,133
16.0,3339.0,1811.0,133
17.0,3702.0,1703.0,133
18.0,2837.0,1421.0,133
19.0,1775.0,1368.0,133
20.0,1229.0,1205.0,133
21.0,1037.0,928.0,133
22.0,765.0,635.0,133
23.0,499.0,413.0,133
0.0,869.0,1417.0,142
1.0,541.0,877.0,142
2.0,418.0,621.0,142
3.0,426.0,396.0,142
4.0,985.0,382.0,142
5.0,2402.0,677.0,142
6.0,3581.0,1193.0,142
7.0,4048.0,1719.0,142
8.0,4014.0,2377.0,142
9.0,3882.0,3143.0,142
10.0,3829.0,3610.0,142
11.0,3871.0,3853.0,142
12.0,3951.0,3910.0,142
13.0,4104.0,3950.0,142
14.0,4286.0,3915.0,142
15.0,4226.0,3878.0,142
16.0,3972.0,3797.0,142
17.0,3942.0,3620.0,142
18.0,3933.0,3425.0,142
19.0,3505.0,3221.0,142
20.0,3033.0,3099.0,142
21.0,2749.0,2839.0,142
22.0,2256.0,2244.0,142
23.0,1551.0,1433.0,142
0.0,208.0,308.0,241
1.0,175.0,224.0,241
2.0,170.0,179.0,241
3.0,188.0,169.0,241
4.0,359.0,178.0,241
5.0,1017.0,258.0,241
6.0,2261.0,440.0,241
7.0,4000.0,597.0,241
8.0,4022.0,828.0,241
9.0,2705.0,1159.0,241
10.0,2082.0,1572.0,241
11.0,1890.0,1730.0,241
12.0,1943.0,1921.0,241
